id_x,sat_em_g,mr (emu/g),coer_oe,Synthesis
65,35.0,5.14,4791.6396,"Reagents consisting of 38ï¿½mL of trioctylamine (TOA) 98% [Aldrich T81000-500G], 1ï¿½mL ofï¿½oleic acidï¿½(OA) 90% [Aldrich 364525-1L] and 5.5ï¿½g of iron oleate were used without further purification. TOA and OA were poured into a three-neck flask. Then iron oleate was added. The reaction was carried out under argon flow. The reagents were gently stirred and slowly heated to 120ï¿½ï¿½C. The temperature of reaction was controlled by aï¿½thermocoupleï¿½introduced inside the flask through a rubber septum. The reflux condenser was applied at 120ï¿½ï¿½C to allow the evaporation of any residual moisture. The reaction was continually stirred and carefully heated at a rate of 2ï¿½ï¿½C/min to 200ï¿½ï¿½C. Then the heating rate was increased to 3ï¿½ï¿½C/min. No sudden pops or blasts were observed. When the temperature reached 310ï¿½ï¿½C the reaction was continued at this temperature for 30ï¿½min and then cooled down rapidly. The synthesized nanoparticles (non-magnetic; not attracted by magnet) were precipitated and washed 3 times with ethanol (ethanol added, sonicated and centrifuged at 4ï¿½kRPM). Nanoparticles were finally collected by centrifuge (20ï¿½kRPM, 15ï¿½min). The oxidation of the sample started as soon as the nanoparticles were finally separated from the reaction solution and proceed during 5 week"
66,35.0,5.14,4791.6396,"Reagents consisting of 38ï¿½mL of trioctylamine (TOA) 98% [Aldrich T81000-500G], 1ï¿½mL ofï¿½oleic acidï¿½(OA) 90% [Aldrich 364525-1L] and 5.5ï¿½g of iron oleate were used without further purification. TOA and OA were poured into a three-neck flask. Then iron oleate was added. The reaction was carried out under argon flow. The reagents were gently stirred and slowly heated to 120ï¿½ï¿½C. The temperature of reaction was controlled by aï¿½thermocoupleï¿½introduced inside the flask through a rubber septum. The reflux condenser was applied at 120ï¿½ï¿½C to allow the evaporation of any residual moisture. The reaction was continually stirred and carefully heated at a rate of 2ï¿½ï¿½C/min to 200ï¿½ï¿½C. Then the heating rate was increased to 3ï¿½ï¿½C/min. No sudden pops or blasts were observed. When the temperature reached 310ï¿½ï¿½C the reaction was continued at this temperature for 30ï¿½min and then cooled down rapidly. The synthesized nanoparticles (non-magnetic; not attracted by magnet) were precipitated and washed 3 times with ethanol (ethanol added, sonicated and centrifuged at 4ï¿½kRPM). Nanoparticles were finally collected by centrifuge (20ï¿½kRPM, 15ï¿½min). The oxidation of the sample started as soon as the nanoparticles were finally separated from the reaction solution and proceed during 5 week"
67,0.18,2.65,87.02,"NiO NPs was synthesized using the co-precipitation method which is also explained elsewhere33. 3.95ï¿½g of Nickel chloride hexahydrate (NiCl2ï¿½6H2O) was diluted in a solvent of 50ï¿½mL double-distilled water at room temperature to acquire a certain molar concentration. Then, the obtained solution was stirred magnetically at 50ï¿½ï¿½C for 40ï¿½min, followed by drop wise addition of 2.14ï¿½g NaOH dissolved in 10ï¿½mL of double-distilled water to the solution at a constant pH of 8. The product was green precipitate which was separated from the supernatant liquid and washed several times with the copious amount of ethanol and double distilled water to remove all the impurities. It was finally dried for 12ï¿½h at 80ï¿½ï¿½C. The dried sample was calcined for two hours at 500ï¿½ï¿½C to obtain the black coloured NiO NPs."
68,70.264,1.65,22.41," 5.44ï¿½g of sodium acetate (CH3COONa) and 4.20ï¿½g of Ferric chloride (FeCl3) were dissolved in 50ï¿½mL of Ethylene glycol to obtain a homogeneous solution. The mixture was then continuously stirred for 30ï¿½min, after which the solution was inserted inside in a stainless steel autoclave and heat treated at 180ï¿½ï¿½C for 10ï¿½h. The resulting solution was allowed to cool properly at room temperature, after which a 15 min ultrasonication was carried out to ensure that a well disperse of NPs was formed. Finally, the product obtained was washed several times with double distilled water and ethanol, followed by centrifugation at 1500ï¿½rpm.ï¿½"
69,31.33,1.35,37.09,"1ï¿½g of the Fe3O4 nanoparticles and 3.95 g of Nickel chloride hexahydrate (NiCl2ï¿½6H2O) was diluted in a solvent of 50 mL double-distilled water at room temperature to acquire a certain molar concentration. Then, the obtained solution was stirred magnetically at 50 ï¿½C for 40 min, followed by drop wise addition of 2.14 g NaOH dissolved in 10 mL of double-distilled water to the solution at a constant pH of 8. The dried sample was calcined for two hours at 500 ï¿½C to obtain the black coloured Fe3O4@NiO NPs. "
70,40.03,2.16,100.29,"The inverted NiO@Fe3O4ï¿½was prepared in a two-step reactions. Firstly, NiO NPs was synthesized using the co-precipitation method which is also explained elsewhere33. 3.95ï¿½g of Nickel chloride hexahydrate (NiCl2ï¿½6H2O) was diluted in a solvent of 50ï¿½mL double-distilled water at room temperature to acquire a certain molar concentration. Then, the obtained solution was stirred magnetically at 50ï¿½ï¿½C for 40ï¿½min, followed by drop wise addition of 2.14ï¿½g NaOH dissolved in 10ï¿½mL of double-distilled water to the solution at a constant pH of 8. The product was green precipitate which was separated from the supernatant liquid and washed several times with the copious amount of ethanol and double distilled water to remove all the impurities. It was finally dried for 12ï¿½h at 80ï¿½ï¿½C. The dried sample was calcined for two hours at 500ï¿½ï¿½C to obtain the black coloured NiO NPs. The as-prepared NiO NPs was then used as the core in the synthesis of inverted CSNiO@Fe3O4ï¿½using a solvothermal method described elsewhere34. 1ï¿½g of the as-prepared NiOï¿½NPs was mixed in a solution of 5.44ï¿½g of sodium acetate (CH3COONa) and 4.20ï¿½g of Ferric chloride (FeCl3) in 50ï¿½mL of Ethylene glycol to obtain a homogeneous solution. The mixture was then continuously stirred for 30ï¿½min, after which the solution was inserted inside in a stainless steel autoclave and heat treated at 180ï¿½ï¿½C for 10ï¿½h. The resulting solution was allowed to cool properly at room temperature, after which a 15 min ultrasonication was carried out to ensure that a well disperse of NPs was formed. Finally, the product obtained was washed several times with double distilled water and ethanol, followed by centrifugation at 1500ï¿½rpm. A dark brownish precipitate of NiO@Fe3O4ï¿½was obtained after drying in the oven for 12ï¿½h at 80ï¿½ï¿½C."
71,31.33,1.35,37.09,"1ï¿½g of the Fe3O4 nanoparticles and 3.95 g of Nickel chloride hexahydrate (NiCl2ï¿½6H2O) was diluted in a solvent of 50 mL double-distilled water at room temperature to acquire a certain molar concentration. Then, the obtained solution was stirred magnetically at 50 ï¿½C for 40 min, followed by drop wise addition of 2.14 g NaOH dissolved in 10 mL of double-distilled water to the solution at a constant pH of 8. The dried sample was calcined for two hours at 500 ï¿½C to obtain the black coloured Fe3O4@NiO NPs. "
72,40.03,2.16,100.29,"The inverted NiO@Fe3O4ï¿½was prepared in a two-step reaction. Firstly, NiO NPs was synthesized using the co-precipitation method which is also explained elsewhere33. 3.95ï¿½g of Nickel chloride hexahydrate (NiCl2ï¿½6H2O) was diluted in a solvent of 50ï¿½mL double-distilled water at room temperature to acquire a certain molar concentration. Then, the obtained solution was stirred magnetically at 50ï¿½ï¿½C for 40ï¿½min, followed by drop wise addition of 2.14ï¿½g NaOH dissolved in 10ï¿½mL of double-distilled water to the solution at a constant pH of 8. The product was green precipitate which was separated from the supernatant liquid and washed several times with the copious amount of ethanol and double distilled water to remove all the impurities. It was finally dried for 12ï¿½h at 80ï¿½ï¿½C. The dried sample was calcined for two hours at 500ï¿½ï¿½C to obtain the black coloured NiO NPs. The as-prepared NiO NPs was then used as the core in the synthesis of inverted CSNiO@Fe3O4ï¿½using a solvothermal method described elsewhere34. 1ï¿½g of the as-prepared NiOï¿½NPs was mixed in a solution of 5.44ï¿½g of sodium acetate (CH3COONa) and 4.20ï¿½g of Ferric chloride (FeCl3) in 50ï¿½mL of Ethylene glycol to obtain a homogeneous solution. The mixture was then continuously stirred for 30ï¿½min, after which the solution was inserted inside in a stainless steel autoclave and heat treated at 180ï¿½ï¿½C for 10ï¿½h. The resulting solution was allowed to cool properly at room temperature, after which a 15 min ultrasonication was carried out to ensure that a well disperse of NPs was formed. Finally, the product obtained was washed several times with double distilled water and ethanol, followed by centrifugation at 1500ï¿½rpm. A dark brownish precipitate of NiO@Fe3O4ï¿½was obtained after drying in the oven for 12ï¿½h at 80ï¿½ï¿½C."
73,1.3127,0.052,1300.0,"The experiments were carried out on both bulk and nanosized particles of BiFeO3. The nanoparticles of BiFeO3ï¿½have been synthesized by sonochemical process where coprecipitation takes place from mixed aqueous solution of metal nitrates within a suitable medium in the presence of ultrasonic vibration. The precipitate was washed in alcohol and dried. Finally, the product was calcined at 350ï¿½ï¿½450?ï¿½C for 2ï¿½6 h. The sonochemical process was shown to yield nanosized particles of various oxide compounds in the past. We have separated out finer particles by a centrifuge running at different speedsï¿½10 000, 12 000, and 15 000 rpm. The variation of heat-treatment temperature and time also yield particles of different sizes. In order to synthesize the bulk sample, the calcined powder was compacted in the form of pellets and sintered at ?830ï¿½ for 5ï¿½10 h"
74,43.278,0.046,1225.0,"The experiments were carried out on both bulk and nanosized particles of BiFeO3. The nanoparticles of BiFeO3ï¿½have been synthesized by sonochemical process where coprecipitation takes place from mixed aqueous solution of metal nitrates within a suitable medium in the presence of ultrasonic vibration. The precipitate was washed in alcohol and dried. Finally, the product was calcined at 350ï¿½ï¿½450?ï¿½C for 2ï¿½6 h. The sonochemical process was shown to yield nanosized particles of various oxide compounds in the past. We have separated out finer particles by a centrifuge running at different speedsï¿½10 000, 12 000, and 15 000 rpm. The variation of heat-treatment temperature and time also yield particles of different sizes. In order to synthesize the bulk sample, the calcined powder was compacted in the form of pellets and sintered at ?830ï¿½ for 5ï¿½10 h"
75,43.278,0.046,1225.0,"The experiments were carried out on both bulk and nanosized particles of BiFeO3. The nanoparticles of BiFeO3ï¿½have been synthesized by sonochemical process where coprecipitation takes place from mixed aqueous solution of metal nitrates within a suitable medium in the presence of ultrasonic vibration. The precipitate was washed in alcohol and dried. Finally, the product was calcined at 350ï¿½ï¿½450ï¿½C for 2ï¿½6 h. The sonochemical process was shown to yield nanosized particles of various oxide compounds in the past. We have separated out finer particles by a centrifuge running at different speedsï¿½10 000, 12 000, and 15 000 rpm. The variation of heat-treatment temperature and time also yield particles of different sizes. In order to synthesize the bulk sample, the calcined powder was compacted in the form of pellets and sintered at ?830ï¿½ for 5ï¿½10 h"
76,43.278,0.046,1225.0,"The experiments were carried out on both bulk and nanosized particles of BiFeO3. The nanoparticles of BiFeO3ï¿½have been synthesized by sonochemical process where coprecipitation takes place from mixed aqueous solution of metal nitrates within a suitable medium in the presence of ultrasonic vibration. The precipitate was washed in alcohol and dried. Finally, the product was calcined at 350ï¿½ï¿½450?ï¿½C for 2ï¿½6 h. The sonochemical process was shown to yield nanosized particles of various oxide compounds in the past. We have separated out finer particles by a centrifuge running at different speedsï¿½10 000, 12 000, and 15 000 rpm. The variation of heat-treatment temperature and time also yield particles of different sizes. In order to synthesize the bulk sample, the calcined powder was compacted in the form of pellets and sintered at ?830ï¿½ for 5ï¿½10 h"
77,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
78,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
79,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
80,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
81,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
82,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
83,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
84,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
85,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
86,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
87,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
88,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
89,52.0,17.6,449.38,"Ti(IV)-doped maghemite was prepared by solï¿½gel method using Ti(nOBu)4ï¿½(TB) and Fe(NO3)3.9H2O (FeNt) in 2-propanol (PrOH) as the solvent and propylene oxide (PO) (Sigma Aldrich, Germany) as a gelation promoter. Solutions containing the appropriate amounts of both precursors were separately prepared and then mixed. In a typical experiment, 10.7 g (26.4 mmol) FeNt was dissolved in 50 mL 2-propanol, and 1.0 mL (2.94 mmol) TB was dissolved in 10 mL of the same solvent. The FeNt solution was added to the TB solution, and 20.4 mL (0.293 mol) PO was immediately added to the mixture. After a stirring of the mixture for three hours, it was aged for 24 h to produce a gel. Through evaporation of the solvent from the gel in a water bath at 80 ï¿½C, the gel solvent was removed. The product was then dried in an oven for one hour at 120 ï¿½C beforeï¿½being calcined for four hours at 350 ï¿½C."
90,57.0,33.04,624.1," Fe3O4 nanoparticles were prepared first with a 20 mmol concentration of FeCl3ï¿½6H2O in 30 ml of 1,2-Propanediol, and 3.6 g of CH3COONa was added to the prepared precursor solutions. The reaction was carried out in a Teflon-lined stainless steel autoclave at 180 ï¿½C for 12 h. Dark brown precipitates were formed and dried at 80 ï¿½C for 12 h."
91,55.0,43.5,8336.0,"Co0.4Fe2.6O4 nanoparticles were prepared first with a 16 mmol concentration of FeCl3ï¿½6H2O and 4 mmol CoCl2ï¿½6H2O in 30 ml of 1,2-Propanediol, and 3.6 g of CH3COONa was added to the prepared precursor solutions. The reaction was carried out in a Teflon-lined stainless steel autoclave at 180 ï¿½C for 12 h. Dark brown precipitates were formed and dried at 80 ï¿½C for 12 h."
92,51.0,36.47,10760.0,"Co0.4Fe2.6O4 nanoparticles were prepared first with a 13 mmol concentration of FeCl3ï¿½6H2O and 7 mmol CoCl2ï¿½6H2O in 30 ml of 1,2-Propanediol, and 3.6 g of CH3COONa was added to the prepared precursor solutions. The reaction was carried out in a Teflon-lined stainless steel autoclave at 180 ï¿½C for 12 h. Dark brown precipitates were formed and dried at 80 ï¿½C for 12 h."
93,45.0,32.22,14563.0,"Co0.4Fe2.6O4 nanoparticles were prepared first with a 10 mmol concentration of FeCl3ï¿½6H2O and 10 mmol CoCl2ï¿½6H2O in 30 ml of 1,2-Propanediol, and 3.6 g of CH3COONa was added to the prepared precursor solutions. The reaction was carried out in a Teflon-lined stainless steel autoclave at 180 ï¿½C for 12 h. Dark brown precipitates were formed and dried at 80 ï¿½C for 12 h."
94,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
95,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
96,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
97,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
98,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
99,1.259,0.0485,1219.58,"ï¿½The precursor solution was prepared by dissolving 10mmol Bi(NO3)3ï¿½5H2O and 10mmol Fe(NO3)3ï¿½9H2O in distilled water with the addition of dilute nitric acid, wherein tartaric acid as organic complex was added with 1:1 molar ratio to the cations. The mixture was stirred for several hours and then evaporated and dried at 140ï¿½C for 15h to obtain the xerogel powder. Finally, the xerogel were calcined atï¿½425ï¿½C"
100,63.0,34.3,3999.6,"To make the Fe0.7Co0.3 NPs, 4.865 g of the ferrous sulfate, 2.108 g of the cobalt sulfate, and 0.0292 g of CTAB were weighed. The FeSO4 ?7H2O and CoSO4 ?7H2O were then dissolved in 50 ml of distilled water. Next, 0.0292 g of CTAB and 5 ml of HCl were added to the mixed sulfate solution and vigorously stirred for 30 min. Then 25 ml NaOH (3M) was dropped into the solution upon which the solution became black in color. black solutions was placed separately into a Teflon-lined stainless steel autoclave which was then heated to 150ï¿½C and maintained at that temperature for 6 h. The autoclave was then cooled down to room temperature. The black products were removed from each solution with a magnet and washed with a mixture of the distilled water and ethanol two times and dried at room temperature."
101,63.0,34.3,3999.6," To make the Fe0.7Co0.3 NPs, 4.865 g of the ferrous sulfate, 2.108 g of the cobalt sulfate, and 0.0292 g of CTAB were weighed. The FeSO4 ?7H2O and CoSO4 ?7H2O were then dissolved in 50 ml of distilled water. Next, 0.0292 g of CTAB and 5 ml of HCl were added to the mixed sulfate solution and vigorously stirred for 30 min. Then 25 ml NaOH (3M) was dropped into the solution upon which the solution became black in color. black solutions was placed separately into a Teflon-lined stainless steel autoclave which was then heated to 150ï¿½C and maintained at that temperature for 6 h. The autoclave was then cooled down to room temperature. The black products were removed from each solution with a magnet and washed with a mixture of the distilled water and ethanol two times and dried at room temperature."
102,63.0,34.3,3999.6,"To make the Fe0.7Co0.3 NPs, 4.865 g of the ferrous sulfate, 2.108 g of the cobalt sulfate, and 0.0292 g of CTAB were weighed. The FeSO4 ?7H2O and CoSO4 ?7H2O were then dissolved in 50 ml of distilled water. Next, 0.0292 g of CTAB and 5 ml of HCl were added to the mixed sulfate solution and vigorously stirred for 30 min. Then 25 ml NaOH (3M) was dropped into the solution upon which the solution became black in color. black solutions was placed separately into a Teflon-lined stainless steel autoclave which was then heated to 150ï¿½C and maintained at that temperature for 6 h. The autoclave was then cooled down to room temperature. The black products were removed from each solution with a magnet and washed with a mixture of the distilled water and ethanol two times and dried at room temperature."
